VaccinationDate,age_group,first_dose,second_dose
2020-12-20,20-29,343,0
2020-12-20,80-89,94,0
2020-12-20,0-19,<15,0
2020-12-20,60-69,1567,0
2020-12-20,50-59,1824,0
2020-12-20,90+,<15,0
2020-12-20,40-49,1816,0
2020-12-20,70-79,522,0
2020-12-20,30-39,1171,0
2020-12-21,20-29,955,0
2020-12-21,0-19,47,0
2020-12-21,40-49,3757,0
2020-12-21,80-89,1248,0
2020-12-21,50-59,3705,0
2020-12-21,70-79,5153,0
2020-12-21,30-39,2725,0
2020-12-21,60-69,7102,0
2020-12-21,90+,178,0
2020-12-22,20-29,1443,0
2020-12-22,80-89,3667,0
2020-12-22,90+,511,0
2020-12-22,50-59,4595,0
2020-12-22,0-19,77,0
2020-12-22,40-49,4523,0
2020-12-22,60-69,13899,0
2020-12-22,70-79,12350,0
2020-12-22,30-39,3570,0
2020-12-23,20-29,1966,0
2020-12-23,30-39,3860,0
2020-12-23,0-19,129,0
2020-12-23,80-89,5922,0
2020-12-23,40-49,5020,0
2020-12-23,90+,1137,0
2020-12-23,70-79,18896,0
2020-12-23,50-59,5341,0
2020-12-23,60-69,20688,0
2020-12-24,80-89,8024,0
2020-12-24,40-49,5229,0
2020-12-24,60-69,24549,0
2020-12-24,30-39,3820,0
2020-12-24,70-79,22738,0
2020-12-24,90+,1485,0
2020-12-24,20-29,1953,0
2020-12-24,0-19,156,0
2020-12-24,50-59,5626,0
2020-12-25,90+,851,0
2020-12-25,80-89,4721,0
2020-12-25,40-49,2325,0
2020-12-25,60-69,12819,0
2020-12-25,70-79,12808,0
2020-12-25,30-39,1446,0
2020-12-25,20-29,734,0
2020-12-25,0-19,107,0
2020-12-25,50-59,2932,0
2020-12-26,70-79,11087,0
2020-12-26,90+,775,0
2020-12-26,40-49,1747,0
2020-12-26,30-39,1035,0
2020-12-26,50-59,2422,0
2020-12-26,60-69,11352,0
2020-12-26,0-19,75,0
2020-12-26,20-29,478,0
2020-12-26,80-89,3892,0
2020-12-27,30-39,6151,0
2020-12-27,70-79,29730,0
2020-12-27,90+,2599,0
2020-12-27,50-59,9993,0
2020-12-27,80-89,12291,0
2020-12-27,20-29,3497,0
2020-12-27,0-19,395,0
2020-12-27,40-49,8592,0
2020-12-27,60-69,31804,0
2020-12-28,0-19,844,0
2020-12-28,20-29,6716,0
2020-12-28,70-79,34300,0
2020-12-28,40-49,13612,0
2020-12-28,60-69,38816,0
2020-12-28,30-39,9758,0
2020-12-28,50-59,14793,0
2020-12-28,90+,2844,0
2020-12-28,80-89,14160,0
2020-12-29,80-89,16915,0
2020-12-29,40-49,16561,0
2020-12-29,60-69,42995,0
2020-12-29,70-79,37263,0
2020-12-29,30-39,11699,0
2020-12-29,90+,4722,0
2020-12-29,0-19,1037,0
2020-12-29,20-29,7589,0
2020-12-29,50-59,18518,0
2020-12-30,50-59,20849,0
2020-12-30,0-19,1097,0
2020-12-30,70-79,34271,0
2020-12-30,40-49,16447,0
2020-12-30,60-69,41342,0
2020-12-30,90+,4217,0
2020-12-30,20-29,8200,0
2020-12-30,80-89,15892,0
2020-12-30,30-39,11921,0
2020-12-31,20-29,9587,0
2020-12-31,0-19,1372,0
2020-12-31,50-59,26501,0
